compound label,p value,adjusted p value,FC: POST/PRE
TG..54.5..B.,0.0254118944359548,0.376511759881422,0.684708344232278
TG..54.6..A.,0.364856426735308,0.686304280908138,1.30759759396068
TG..54.6..B.,0.0774933175082779,0.409360697780074,0.884803452891524
TG..54.8..,0.518840245170932,0.793466165350217,1
TG..56.2..,0.50452431460198,0.789809881586009,1.06755934266586
TG..56.3..,0.854141173597993,0.954961830694296,1.0666447800394
TG..56.4..,0.0974446160562497,0.429214728814882,1.11325857891475
TG..56.5..,0.179999707068594,0.532576452873058,0.794702623066329
TG..56.6..,0.46900598989613,0.764799540341984,0.852899230624883
TG..56.7..A,0.975052412420996,0.994861766320622,0.910150547445255
TG..56.7..B,0.217618011728355,0.56449247542349,0.716833843060932
TG..56.8..,0.551529185620101,0.810352608905985,0.860307945463094
TG..58.1..,0.279951816483283,0.628197242213611,0.670122525918944
TG..58.10..,0.407270597363927,0.726004108344391,1.11111111111111
TG..58.2..,0.988459596452219,0.995001429880905,1.54953917050691
TG..58.3..,0.917647229347658,0.970054653431727,1.17903930131004
TG..58.6..,0.261976976200546,0.612808957255955,1.20665083135392
TG..58.8..,0.987673764709001,0.995001429880905,1.07419994335882
TG..58.9..,0.532433507348315,0.804313931081589,1.03406475372104
TG..60.11..,0.354878473121696,0.679000811906179,0.976916735366859
CSH_posESI..002,0.944990128898372,0.982035367502473,0.992864983534577
CSH_posESI..015,0.140413231069848,0.480331442855323,15.777446300716
CSH_posESI..017,0.294761965321806,0.645089122086909,0.84975194897236
CSH_posESI..034,0.36586548941297,0.686304280908138,0.906860517946388
CSH_posESI..036,0.0850334306224163,0.409360697780074,0.854368932038835
CSH_posESI..040,0.2434292721283,0.590915290847798,1.01718377088305
CSH_posESI..041,0.0621239543919006,0.400409991831297,1.1378480577518
CSH_posESI..042,0.564532711313302,0.822886257474705,0.923624110819918
CSH_posESI..061,0.242100637352447,0.590894159076848,0.837495837495838
CSH_posESI..104,0.931511458934977,0.976446120151243,4.2355460385439
CSH_posESI..106,0.162456815275738,0.509172839514691,0.869455297632728
CSH_posESI..116,0.203332768351148,0.553072433828755,0.324324324324324
CSH_posESI..124,0.00102463886573955,0.251266557912961,4.5979381443299
CSH_posESI..134,0.0868584017836745,0.409360697780074,0.876513921837932
CSH_posESI..170,0.624107615258807,0.865308625986848,0.903639159405433
CSH_posESI..187,0.829969333840788,0.942748807964273,0.986451358802678
CSH_posESI..197,0.335726230260302,0.667575714212749,0.9032189298657
CSH_posESI..201,0.347101212944552,0.673094919696531,0.919535794847442
CSH_posESI..211,0.284700509150887,0.633403458343446,0.827075299370814
CSH_posESI..214,0.0292262657287138,0.376511759881422,3.44981751824818
CSH_posESI..215,0.142950732141199,0.480410625799865,0.722836694860117
CSH_posESI..230,0.548223429995781,0.806989033535417,1.01127191761759
CSH_posESI..232,0.00590764062237503,0.327779441396848,0.650915534554046
CSH_posESI..270,0.83614733565962,0.945650698017071,0.980733480764748
CSH_posESI..285,0.0478858030539584,0.381756263235724,0.880385040239861
CSH_posESI..286,0.0132005450460696,0.35517716514581,0.862912450505939
