compound label,p value,adjusted p value,FC: POST/PRE
CSH_negESI..713,0.396182398369921,0.680558333351774,1.10359408033827
CSH_negESI..716,0.260034666587844,0.581211255860701,0.962745098039216
CSH_negESI..733,0.390172590981532,0.68048695098861,0.951275437087991
CSH_negESI..749,0.296128106623745,0.616761750348694,0.908660291357583
CSH_negESI..762,0.969534837471222,0.980111581152726,0.946863215632499
CSH_negESI..770,0.729530448169593,0.881941016058337,0.938832252085264
CSH_negESI..773,0.319787455538136,0.644183335578364,0.672738693467337
X1.40,0.0370551590441713,0.309899623739466,0.897950996270486
X4.79,0.465839324737514,0.731657244502987,0.999315813321251
X5.01,0.0101421995010067,0.194450445605507,0.913486471940897
X5.46,0.00869214587138038,0.194450445605507,0.876636467416385
X5.63,0.0439640713508544,0.313384918859937,0.900948717566433
X6.12,0.0641291382544393,0.349566675190865,0.882365379193685
X6.70,0.0957067248735623,0.413416670221237,0.929338653964449
X7.03,0.0487100963038173,0.326015327447231,0.866484415045522
X7.36,0.053688262876734,0.328029386367738,0.874887907270252
X2.16,0.198520521995922,0.536119690976223,0.885365409148897
X5.00,0.0130957595456705,0.232318493747754,0.900939736184154
X4.78,0.00591877913369713,0.194450445605507,0.823929010102023
X1.28,0.0399771817291042,0.309899623739466,0.901381444197499
X2.57,0.719950403668484,0.879763570197092,1.13525056947608
X4.80,0.822841651551553,0.916833583692712,1.00016018453258
X7.56,0.340039109154088,0.651937050654044,0.960311998164717
X6.00,0.130310045689024,0.452827408769358,0.954477388439653
X5.63.1,0.0301685320153509,0.289113545373802,0.911184210526316
X6.12.1,0.0143484129232587,0.241749017737328,0.85179472798654
X4.84,0.331955517980629,0.651937050654044,0.843671626818258
X4.82,0.296178754214211,0.616761750348694,0.898894801473598
X5.35,0.427468262738372,0.704342681697382,0.950769230769231
X4.69,0.599956154470376,0.821614832230368,1.10774212540477
X4.76,0.387457096924721,0.68048695098861,0.937843102532318
X4.70,0.749377352116402,0.887758509640081,0.905509590071456
X4.76.1,0.952582289195636,0.972032671564415,0.979468461275237
X7.55,0.0736561583045734,0.372298400157662,0.836440058479532
X6.10,0.406913075274357,0.681616378605084,0.995415270675366
X5.17,0.345034791982864,0.655230543317816,0.475623167155425
X5.11,0.0435897885774887,0.313384918859937,1.10916552667579
X8.24,0.198449904768385,0.536119690976223,0.849694649530581
X6.10.1,0.234581340067959,0.569936326837884,0.991151919866444
X6.01,0.346470826862298,0.655230543317816,0.979160374509212
X4.78.1,0.655348877631255,0.84461880566475,0.828597285067873
X4.88,0.252255501663671,0.57887190441546,0.800634920634921
X1.72,0.37751980565216,0.677493909209473,0.915608995769316
X6.16,0.654627025992339,0.84461880566475,1.00253164556962
X8.48,0.718664366885233,0.879763570197092,0.887268180871015
X4.40,0.71972939947162,0.879763570197092,0.872788139646102
X4.47,0.199015363428518,0.536119690976223,0.926584572022951
X4.77,0.871297484180541,0.946174611727306,0.914116251482799
X4.68,0.357286404219183,0.665483113412652,1.18138566755873
X0.54,0.193819798170075,0.536119690976223,0.917916808728265
X0.75,0.954550069557861,0.972032671564415,1.12123411978221
X1.05,0.359805398597939,0.666839338734846,0.61522633744856
X1.13,0.118032308379414,0.438715395783862,4.84158415841584
X1.15,0.832690026379788,0.924103103128068,0.906309420916162
X1.15.1,0.388735947953381,0.68048695098861,1.03637190270516
X1.15.2,0.558403064667239,0.796082317833295,0.963788741302973
X1.16,0.73409966571594,0.883461935363772,1.00952742096033
X1.28.1,0.526945048002281,0.769974002882021,0.793723439032364
X1.40.1,0.0610573558380014,0.3468752382306,0.797448836557331
X1.40.2,0.0623876327752877,0.3468752382306,0.870231550891221
X1.40.3,0.40148045564637,0.680558333351774,2.17739820688189
X1.40.4,0.623677624689382,0.835577733318786,0.913854805725971
X1.40.5,0.131289220825245,0.453396315396499,1
X1.43,0.776915065278528,0.891550054561997,0.957623912220961
X1.48,0.945904425842273,0.972032671564415,1.79501645510108
X1.52,0.545360790317147,0.783575771126074,0.954183778234086
X1.54,0.656724554834385,0.84461880566475,0.952313167259786
X1.55,0.10163402156042,0.413821660941865,0.837350754674476
X1.77,0.0993078384905322,0.413821660941865,2.71246006389776
X1.79,0.517443792672683,0.768523871640207,0.438686923494303
X1.93,0.886749761627227,0.95180090244158,1
X1.93.1,0.925211835332893,0.97059958574545,0.822246858832225
X1.93.2,0.156427264994372,0.50749702917641,1.00681122788346
X1.94,0.781772743798129,0.891550054561997,1.19150844670354
X2.00,0.991531757409056,0.994661738028177,1.19447929736512
X2.15,0.170751617490227,0.533358984969473,0.883021611261648
X2.15.1,0.745691992639176,0.887758509640081,4578.60465116279
X2.16.1,0.197758071828907,0.536119690976223,1.00807498197549
X2.35,0.618516841634012,0.834697485311919,0.93431654676259
X2.36,0.666124133912146,0.849461051502645,2.32343234323432
X2.52,0.611705004031103,0.831559858780668,0.999342051155523
X2.54,0.651800684459855,0.84461880566475,1.04766377083823
X2.57.1,0.933656669392852,0.972032671564415,1.08199902959728
X2.57.2,0.698823059381615,0.875102750036437,1.11806797853309
X2.57.3,0.786556802943567,0.891550054561997,1.15606242496999
X2.57.4,0.551034430729295,0.789626658467753,1.44695745826602
X2.57.5,0.080608843603541,0.386366526237662,2.50105549880831
X2.57.6,0.866536936930067,0.942846451923908,1.04224483502929
X2.64,0.172369694655312,0.535405308538288,0.954013377926421
X2.64.1,0.173608600881685,0.536119690976223,0.793072152473151
X2.67,0.645542259776522,0.840565565423293,0.866144852868325
X2.68,0.109477389266283,0.425660338685689,0.856595902740078
X2.69,0.596380063884296,0.821614832230368,0.874339926608789
X2.89,0.5287506104333,0.769974002882021,1.17422959701998
X2.89.1,0.181594366875707,0.536119690976223,10243.598615917
X2.99,0.642425024605855,0.840565565423293,1.09944532488114
X3.07,0.00672817519696846,0.194450445605507,0.655963302752294
X3.11,0.670317134789662,0.852264375130017,0.960747221565382
X3.14,0.0159881644077631,0.246315996047657,0.926556991774383
X3.16,0.790931796992917,0.893512806815522,1.80961923847695
X3.17,0.293207819110934,0.615183197832752,1
X3.20,0.771928452033469,0.891550054561997,1.05659075224293
X3.22,0.0119219802170601,0.22095403335618,1.19527582159624
X3.39,0.228228050479826,0.569936326837884,0.000142377152456951
X3.39.1,0.800758233733362,0.897624149104333,1
X3.44,0.000168707379095492,0.0938013027770935,1.22708680502954
X3.58,0.545402560118328,0.783575771126074,1
X3.73,0.0685583256621246,0.364639426620548,0.914796846573681
X3.86,0.268736513227832,0.592797786076582,1
X3.87,0.0493173302223153,0.326015327447231,2.00135654533122
X3.93,0.00216394724685787,0.194450445605507,0.78674561972745
X3.96,0.283138314588676,0.606547631780548,0.980287569573284
X3.98,0.0620042107763103,0.3468752382306,0.708051747441591
X3.99,0.00320700702948222,0.194450445605507,0.770514014734525
X3.99.1,0.113287966414491,0.431425406345595,1.07984994640943
X4.05,0.235788877619626,0.569936326837884,1.24083601286174
X4.09,0.685170902589941,0.863843586938791,0.904880335956293
X4.10,0.030802399510564,0.289113545373802,0.0590812934421275
X4.17,0.707542721417202,0.879763570197092,1.0910489080283
X4.19,0.475145224843215,0.74047085537523,0.966430711773136
X4.28,0.255552814981714,0.579948429101359,1
X4.29,0.186957270010319,0.536119690976223,0.886293592862936
X4.34,0.0193128107343559,0.26713440628879,0.81741513809825
X4.37,0.639590256814093,0.840565565423293,8.42748091603053
X4.39,0.956397815731206,0.972133794417825,0.975313404050145
X4.39.1,0.853151079982536,0.935605523610039,0.971421215242018
X4.40.1,0.399359224062077,0.680558333351774,0.899576848851826
